DIP-10000N	P30131
DIP-10008N	P16528
DIP-10010N	P39346
DIP-10014N	P39344
DIP-10017N	P00956
DIP-10018N	P04968
DIP-10019N	P08142
DIP-10021N	P05791
DIP-10023N	P00892
DIP-10024N	P00894
DIP-10029N	P31554
DIP-10034N	P32053
DIP-10035N	P39347
DIP-10037N	P75969
DIP-10039N	P76168
DIP-10041N	P37326
DIP-10042N	P76542
DIP-10044N	P22939
DIP-10052N	P21179
DIP-10053N	P13029
DIP-10055N	P31069
DIP-10056N	P37647
DIP-10057N	P76268
DIP-10062N	P21865
DIP-10063N	P21866
DIP-10066N	P04951
DIP-10069N	Q46938
DIP-10070N	P77338
DIP-10072N	P03819
DIP-10078N	P07464
DIP-10080N	P02920
DIP-10082N	P02943
DIP-10084N	P37005
DIP-10085N	P76008
DIP-10086N	P52095
DIP-10087N	P52643
DIP-10092N	P30126
DIP-10095N	P07813
DIP-10097N	P30015
DIP-10098N	P15042
DIP-10108N	P33232
DIP-10109N	P33231
DIP-10111N	P23930
DIP-10115N	P75957
DIP-10119N	P32099
DIP-10122N	P10441
DIP-10124N	P21645
DIP-10125N	P43341
DIP-10126N	P27300
DIP-10129N	P00804
DIP-10131N	P45578
DIP-10132N	P00861
DIP-10135N	P03030
DIP-10140N	P77791
DIP-10141N	P76558
DIP-10142N	P02916
DIP-10146N	P00490
DIP-10147N	P15977
DIP-10148N	P25718
DIP-10149N	P06993
DIP-10150N	P19642
DIP-10151N	P23256
DIP-10152N	P21517
DIP-10153N	P00946
DIP-10168N	P15005
DIP-10173N	P77265
DIP-10175N	P39401
DIP-10177N	P33136
DIP-10179N	P06720
DIP-10180N	P02921
DIP-10181N	P0ACH8
DIP-10185N	P17109
DIP-10186N	P37353
DIP-10187N	P38051
DIP-10190N	P52097
DIP-10193N	P06721
DIP-10194N	P00959
DIP-10197N	P00562
DIP-10198N	P0A9F9
DIP-10199N	P30958
DIP-10209N	P51020
DIP-10210N	P77580
DIP-10211N	P77569
DIP-10214N	P18196
DIP-10218N	P78055
DIP-10219N	P50456
DIP-10221N	P41052
DIP-10228N	P30745
DIP-10231N	P30748
DIP-10232N	P30749
DIP-10233N	P32173
DIP-10234N	P32125
DIP-10240N	P12281
DIP-10241N	P12282
DIP-10244N	P09348
DIP-10246N	P37773
DIP-10251N	P02918
DIP-10252N	P02919
DIP-10256N	P16926
DIP-10257N	P0ABH4
DIP-1025N	P00968
DIP-10260N	P31120
DIP-10262N	P24205
DIP-10265N	P25738
DIP-10266N	P46022
DIP-10267N	P00550
DIP-10268N	P09424
DIP-10273N	P22523
DIP-10274N	P22524
DIP-10277N	P08373
DIP-10278N	P17952
DIP-10279N	P14900
DIP-1027N	P11458
DIP-10280N	P22188
DIP-10281N	P11880
DIP-10282N	P17443
DIP-10283N	P22634
DIP-10284N	P06722
DIP-10285N	P23367
DIP-10286N	P05523
DIP-10287N	P23909
DIP-10288N	P08337
DIP-10289N	P17802
DIP-10293N	P30011
DIP-10295N	P18843
DIP-10304N	P33937
DIP-10306N	P0ABL5
DIP-10310N	P33934
DIP-10311N	P09152
DIP-10312N	P11349
DIP-10313N	P11350
DIP-10317N	P31802
DIP-10318N	P27896
DIP-10321N	P19317
DIP-10323N	P19318
DIP-10324N	P19319
DIP-10325N	P00393
DIP-10327N	P50465
DIP-10332N	P31600
DIP-10333N	P0AFA5
DIP-10340N	P33590
DIP-10341N	P33591
DIP-10343N	P33593
DIP-10344N	P33594
DIP-10355N	P31061
DIP-10358N	P28903
DIP-1036N	P0A879
DIP-10372N	P0AFC0
DIP-10376N	P77788
DIP-10380N	P33599
DIP-10382N	P31979
DIP-10383N	P33602
DIP-10397N	P06996
DIP-10398N	P02931
DIP-10399N	P76045
DIP-10400N	P77747
DIP-10405N	P23843
DIP-10408N	P76027
DIP-10409N	P77737
DIP-10410N	P33596
DIP-10417N	P31677
DIP-10430N	P76085
DIP-10431N	P76086
DIP-10433N	P00903
DIP-10434N	P05041
DIP-10435N	P28305
DIP-10436N	P31057
DIP-10437N	P31663
DIP-10439N	P16256
DIP-10441N	P20083
DIP-10442N	P76577
DIP-10449N	P05459
DIP-10455N	P37095
DIP-10456N	P15288
DIP-10458N	P04825
DIP-10459N	P15034
DIP-10460N	P21165
DIP-10461N	P29745
DIP-10463N	Q57083
DIP-10467N	P09373
DIP-10469N	P32674
